,GeoUID,Type,RegionName,Area(sqKm),Population,Dwellings,Households,PopulationCT,PopulationDensity,LandArea(skm),BicycleF,BicycleM,BicycleT
0,5350001.0,CT,Toronto,6.62211,595,274,247,595,97.6,6.1,10,25,30
1,5350002.0,CT,Toronto,3.2947,620,279,270,620,195.4,3.17,30,45,75
2,5350003.0,CT,Toronto,0.94253,749,267,258,749,820.5,0.91,15,0,20
3,5350004.0,CT,Toronto,0.34347,6686,3609,3455,6686,19453.0,0.34,160,225,385
4,5350005.0,CT,Toronto,0.37611999999999995,6424,3729,3424,6424,17076.0,0.38,105,220,320
5,5350006.0,CT,Toronto,0.01288,0,0,0,0,0.0,0.01,0,0,0
6,5350007.01,CT,Toronto,0.19931,3237,1827,1747,3237,16233.7,0.2,60,125,185
7,5350007.02,CT,Toronto,0.43656999999999996,4753,2653,2506,4753,10891.4,0.44,85,150,235
8,5350008.01,CT,Toronto,0.29723,7503,5192,4954,7503,25262.6,0.3,120,205,325
9,5350008.02,CT,Toronto,1.8393700000000002,9942,6390,6060,9942,5345.7,1.86,115,285,400
10,5350009.0,CT,Toronto,0.10317,567,169,166,567,5499.5,0.1,0,10,10
11,5350010.01,CT,Toronto,0.26263000000000003,5428,3281,3147,5428,20670.2,0.26,80,145,225
12,5350010.02,CT,Toronto,0.54735,7740,4628,4447,7740,14144.7,0.55,180,195,370
13,5350011.0,CT,Toronto,0.9803700000000001,17549,15207,11891,17549,17903.5,0.98,155,300,450
14,5350012.01,CT,Toronto,0.41877,11658,7449,6881,11658,27843.3,0.42,115,265,380
15,5350012.03,CT,Toronto,0.46643,8865,5997,5311,8865,19003.2,0.47,20,115,140
16,5350012.04,CT,Toronto,0.233,4899,3258,2956,4899,21272.3,0.23,40,50,90
17,5350013.01,CT,Toronto,0.34314,6290,4499,4059,6290,18332.8,0.34,15,30,40
18,5350013.02,CT,Toronto,0.41796000000000005,8126,5270,4725,8126,19449.5,0.42,25,45,65
19,5350014.0,CT,Toronto,0.47266,1242,975,691,1242,2628.0,0.47,0,0,10
20,5350015.0,CT,Toronto,0.28599,3663,2451,2226,3663,12807.7,0.29,15,15,25
21,5350016.0,CT,Toronto,0.65971,10101,6527,6180,10101,15430.8,0.65,135,210,350
22,5350017.0,CT,Toronto,1.37531,7906,5250,4663,7906,5889.5,1.34,120,210,330
23,5350018.0,CT,Toronto,0.35178000000000004,2456,1319,1248,2456,7081.9,0.35,50,85,135
24,5350019.0,CT,Toronto,0.24894000000000002,3258,1410,1365,3258,13089.6,0.25,45,75,120
25,5350020.0,CT,Toronto,0.7386199999999999,2390,1028,1014,2390,3236.3,0.74,0,30,35
26,5350021.0,CT,Toronto,0.8680700000000001,5199,2830,2661,5199,5977.9,0.87,75,105,180
27,5350022.0,CT,Toronto,0.55462,3883,1577,1504,3883,6998.9,0.55,20,70,85
28,5350023.0,CT,Toronto,0.68635,3208,1355,1286,3208,4673.7,0.69,10,45,55
29,5350024.0,CT,Toronto,0.70927,6887,3136,2963,6887,9713.7,0.71,65,155,215
30,5350025.0,CT,Toronto,0.5284300000000001,3456,1659,1610,3456,6540.5,0.53,30,75,105
31,5350026.0,CT,Toronto,0.7771899999999999,6486,2894,2695,6486,8344.3,0.78,105,145,250
32,5350027.0,CT,Toronto,0.48531,4390,1818,1724,4390,9046.0,0.49,60,105,165
33,5350028.01,CT,Toronto,0.20715999999999998,1387,728,684,1387,6690.8,0.21,25,25,50
34,5350028.02,CT,Toronto,0.46335,6198,3007,2836,6198,13383.7,0.46,110,135,240
35,5350029.0,CT,Toronto,0.6866899999999999,6987,3099,2962,6987,10354.2,0.67,150,170,325
36,5350030.0,CT,Toronto,0.38708000000000004,4529,2319,2195,4529,11893.4,0.38,80,115,190
37,5350031.0,CT,Toronto,0.26375,6274,2864,2765,6274,24270.8,0.26,35,70,110
38,5350032.0,CT,Toronto,0.4197,5363,2976,2641,5363,12781.2,0.42,80,150,225
39,5350033.0,CT,Toronto,0.31956999999999997,5042,3010,2733,5042,15780.9,0.32,25,85,115
40,5350034.01,CT,Toronto,0.12455,4554,2884,2268,4554,36578.3,0.12,20,55,70
41,5350034.02,CT,Toronto,0.39824,5147,3409,3055,5147,12922.4,0.4,40,60,95
42,5350035.0,CT,Toronto,0.66273,9876,6772,5707,9876,14900.4,0.66,40,80,120
43,5350036.0,CT,Toronto,0.38343,5487,3641,3272,5487,14311.4,0.38,75,135,210
44,5350037.0,CT,Toronto,0.45102,4494,2463,2116,4494,9957.9,0.45,110,180,290
45,5350038.0,CT,Toronto,0.36616,3772,1820,1638,3772,10303.2,0.37,105,170,275
46,5350039.0,CT,Toronto,0.31773,4192,1821,1709,4192,13186.5,0.32,60,105,165
47,5350040.0,CT,Toronto,0.36873,4568,1961,1788,4568,12396.2,0.37,120,185,305
48,5350041.0,CT,Toronto,0.31711999999999996,3453,1588,1453,3453,10889.3,0.32,130,185,310
49,5350042.0,CT,Toronto,0.48994,4570,2150,1965,4570,9328.4,0.49,205,245,450
50,5350043.0,CT,Toronto,0.55392,3965,1863,1704,3965,7158.3,0.55,160,160,315
51,5350044.0,CT,Toronto,0.49063999999999997,8825,5124,4629,8825,17988.2,0.49,290,450,740
52,5350045.0,CT,Toronto,0.29514,3453,1567,1468,3453,11693.2,0.3,115,170,290
53,5350046.0,CT,Toronto,0.42036,3281,1404,1330,3281,7808.2,0.42,100,130,230
54,5350047.02,CT,Toronto,0.28694000000000003,3791,2083,1947,3791,13209.1,0.29,95,120,215
55,5350047.03,CT,Toronto,0.11809000000000001,703,376,361,703,5952.6,0.12,35,50,85
56,5350047.04,CT,Toronto,0.27379000000000003,2846,1253,1180,2846,10394.4,0.27,90,125,215
57,5350048.0,CT,Toronto,0.3349,3557,1660,1560,3557,10617.9,0.34,105,165,265
58,5350049.0,CT,Toronto,0.46479,3663,1506,1426,3663,7879.1,0.46,95,135,230
59,5350050.01,CT,Toronto,1.46504,8746,4553,4336,8746,6816.8,1.28,50,90,140
60,5350050.03,CT,Toronto,1.92412,1109,606,590,1109,653.2,1.7,0,10,10
61,5350050.04,CT,Toronto,0.77861,5008,2291,2212,5008,6589.5,0.76,35,65,105
62,5350051.0,CT,Toronto,0.69119,5399,2570,2313,5399,7807.7,0.69,130,190,325
63,5350052.0,CT,Toronto,0.50129,4077,1933,1839,4077,8134.5,0.5,160,135,295
64,5350053.0,CT,Toronto,0.6831699999999999,5982,2840,2712,5982,8755.9,0.68,175,180,355
65,5350054.0,CT,Toronto,0.70239,5803,2975,2724,5803,8261.7,0.7,210,210,420
66,5350055.0,CT,Toronto,0.27636,2763,1403,1320,2763,10000.0,0.28,170,150,320
67,5350056.0,CT,Toronto,0.50948,4772,2170,2018,4772,9367.9,0.51,250,250,495
68,5350057.0,CT,Toronto,0.26644,2311,1226,1108,2311,8674.9,0.27,110,105,210
69,5350058.0,CT,Toronto,0.38414,3980,2063,1888,3980,10351.1,0.38,225,220,445
70,5350059.0,CT,Toronto,0.36663,3837,1621,1447,3837,10466.4,0.37,190,195,390
71,5350060.0,CT,Toronto,0.27159,2685,1669,1471,2685,9885.9,0.27,60,90,150
72,5350061.0,CT,Toronto,0.76722,1085,536,475,1085,1414.2,0.77,0,10,15
73,5350062.01,CT,Toronto,0.10685,5595,3852,3302,5595,52387.6,0.11,30,60,90
74,5350062.02,CT,Toronto,0.58534,9084,6837,5374,9084,15520.2,0.59,30,75,105
75,5350063.03,CT,Toronto,0.09337999999999999,5104,3640,3405,5104,54646.7,0.09,25,110,135
76,5350063.04,CT,Toronto,0.14093,3370,2409,2264,3370,23917.7,0.14,35,80,115
77,5350063.05,CT,Toronto,0.12992,4331,3429,2943,4331,33315.4,0.13,45,80,120
78,5350063.06,CT,Toronto,0.19221,5171,3761,3519,5171,26890.3,0.19,30,100,130
79,5350064.0,CT,Toronto,0.19472,4311,2898,2683,4311,22130.4,0.19,65,105,175
80,5350065.01,CT,Toronto,0.08613,2483,1496,1394,2483,28872.1,0.09,10,70,70
81,5350065.02,CT,Toronto,0.14340999999999998,11821,5715,5481,11821,82433.8,0.14,65,165,230
82,5350066.0,CT,Toronto,0.32848,7608,4597,4425,7608,23166.9,0.33,120,205,325
83,5350067.0,CT,Toronto,0.6634399999999999,1694,868,814,1694,2600.6,0.65,45,80,125
84,5350068.0,CT,Toronto,0.43058,2367,1296,1203,2367,5655.9,0.42,110,150,260
85,5350069.0,CT,Toronto,0.8727299999999999,4923,2011,1894,4923,5734.4,0.86,125,180,305
86,5350070.0,CT,Toronto,0.44642,3512,1774,1712,3512,7980.0,0.44,65,60,125
87,5350071.0,CT,Toronto,0.46398,3481,1521,1402,3481,7498.9,0.46,70,115,185
88,5350072.01,CT,Toronto,0.40518000000000004,4586,1949,1864,4586,11315.1,0.41,80,75,160
89,5350072.02,CT,Toronto,0.5369,3141,1320,1261,3141,5850.3,0.54,60,95,145
90,5350073.0,CT,Toronto,0.35718,2605,1077,1007,2605,7292.8,0.36,25,55,80
91,5350074.0,CT,Toronto,0.3998,3848,1710,1598,3848,9624.8,0.4,115,95,205
92,5350075.0,CT,Toronto,0.49858,4083,1839,1760,4083,8190.6,0.5,25,100,125
93,5350076.0,CT,Toronto,0.45743999999999996,4415,1993,1937,4415,9646.1,0.46,45,75,115
94,5350077.0,CT,Toronto,0.6104,4670,1968,1907,4670,7652.0,0.61,60,105,160
95,5350078.0,CT,Toronto,0.77495,6016,2980,2854,6016,7760.6,0.78,40,95,135
96,5350079.0,CT,Toronto,1.01839,7327,2986,2887,7327,7194.6,1.02,60,75,135
97,5350080.01,CT,Toronto,0.47192,3352,1496,1428,3352,7104.7,0.47,20,20,45
98,5350080.02,CT,Toronto,0.39054,4686,2073,2011,4686,11996.9,0.39,10,40,50
99,5350081.0,CT,Toronto,0.36798000000000003,2848,1140,1076,2848,7741.2,0.37,25,50,75
100,5350082.0,CT,Toronto,0.3084,2766,1060,1027,2766,8971.8,0.31,40,55,95
101,5350083.0,CT,Toronto,0.44642,4052,1908,1822,4052,9077.1,0.45,45,85,125
102,5350084.0,CT,Toronto,0.40903,3810,1613,1498,3810,9317.7,0.41,45,75,120
103,5350085.0,CT,Toronto,0.49901,3994,2154,2078,3994,8112.9,0.49,50,85,135
104,5350086.0,CT,Toronto,1.1385,2661,965,921,2661,2337.1,1.14,10,15,25
105,5350087.0,CT,Toronto,1.60971,5155,2652,2491,5155,3218.5,1.6,40,95,135
106,5350088.0,CT,Toronto,0.22973000000000002,3249,1997,1821,3249,14144.5,0.23,20,25,40
107,5350089.0,CT,Toronto,0.32969,3896,2995,2345,3896,11816.8,0.33,10,30,35
108,5350090.0,CT,Toronto,0.39427,4144,2584,2347,4144,10512.4,0.39,20,35,55
109,5350091.01,CT,Toronto,0.51145,6031,3639,3224,6031,11788.5,0.51,105,140,245
110,5350091.02,CT,Toronto,0.32714,3525,2288,2009,3525,10773.2,0.33,100,125,230
111,5350092.0,CT,Toronto,0.62885,7278,4113,3718,7278,11576.3,0.63,260,305,560
112,5350093.0,CT,Toronto,0.61785,5652,2490,2291,5652,9148.6,0.62,295,255,550
113,5350094.0,CT,Toronto,0.6389199999999999,4950,2177,2048,4950,7742.8,0.64,195,175,370
114,5350095.0,CT,Toronto,0.31549,3095,1392,1319,3095,9809.8,0.32,110,160,270
115,5350096.01,CT,Toronto,0.20052999999999999,1658,694,658,1658,8265.2,0.2,60,75,135
116,5350096.02,CT,Toronto,0.34918000000000005,3336,1494,1398,3336,9553.3,0.35,130,115,240
117,5350097.01,CT,Toronto,0.3825,4322,1758,1621,4322,11305.3,0.38,110,105,215
118,5350097.03,CT,Toronto,0.17179,1207,783,679,1207,7029.7,0.17,15,35,45
119,5350097.04,CT,Toronto,0.32489,5462,2528,2392,5462,16816.5,0.32,110,120,230
120,5350098.0,CT,Toronto,0.71535,7099,3123,3002,7099,9924.5,0.72,135,170,305
121,5350099.0,CT,Toronto,0.5813,6585,3380,3241,6585,11326.1,0.58,95,130,230
122,5350100.0,CT,Toronto,0.28925,2956,1492,1432,2956,10224.8,0.29,40,100,135
123,5350101.0,CT,Toronto,0.43013999999999997,3128,1595,1464,3128,7272.7,0.43,80,80,155
124,5350102.02,CT,Toronto,0.11565999999999999,4313,2688,2535,4313,37309.7,0.12,40,30,65
125,5350102.03,CT,Toronto,0.13087000000000001,3682,2178,2095,3682,28128.3,0.13,30,50,80
126,5350102.04,CT,Toronto,0.10128999999999999,671,309,285,671,6623.9,0.1,15,0,15
127,5350102.05,CT,Toronto,0.11899000000000001,861,359,340,861,7235.3,0.12,0,30,30
128,5350103.0,CT,Toronto,0.83794,6050,2627,2527,6050,7221.3,0.84,45,100,145
129,5350104.0,CT,Toronto,0.73732,5525,2141,2054,5525,7491.5,0.74,35,90,130
130,5350105.0,CT,Toronto,0.55453,4509,1917,1790,4509,8133.1,0.55,75,125,200
131,5350106.0,CT,Toronto,1.37076,3773,1427,1343,3773,2752.4,1.37,0,25,35
132,5350107.0,CT,Toronto,0.71899,5085,1880,1751,5085,7074.3,0.72,25,40,70
133,5350108.0,CT,Toronto,0.73607,6013,2679,2475,6013,8168.7,0.74,55,85,135
134,5350109.0,CT,Toronto,0.62602,5496,2299,2203,5496,8778.2,0.63,65,110,170
135,5350110.0,CT,Toronto,0.5455399999999999,3577,1557,1434,3577,6556.1,0.55,15,40,60
136,5350111.0,CT,Toronto,0.45581000000000005,2507,968,902,2507,5499.0,0.46,10,15,25
137,5350112.0,CT,Toronto,0.5017199999999999,5295,2181,2035,5295,10556.2,0.5,75,65,140
138,5350113.0,CT,Toronto,0.38225,2754,1197,1118,2754,7203.8,0.38,45,85,130
139,5350114.0,CT,Toronto,0.62462,5349,2471,2369,5349,8561.1,0.62,85,105,190
140,5350115.0,CT,Toronto,0.37543000000000004,4372,1670,1597,4372,11652.5,0.38,130,115,240
141,5350116.0,CT,Toronto,0.67913,4628,2044,1921,4628,6827.0,0.68,75,100,180
142,5350117.0,CT,Toronto,0.39107,2211,1165,1106,2211,5653.3,0.39,25,45,70
143,5350118.0,CT,Toronto,0.69384,4127,2183,1990,4127,5948.4,0.69,35,65,100
144,5350119.0,CT,Toronto,0.8519,4630,2485,2310,4630,5436.8,0.85,15,30,45
145,5350120.0,CT,Toronto,0.25722,1381,697,654,1381,5367.3,0.26,10,20,30
146,5350121.0,CT,Toronto,0.29736,2659,1629,1448,2659,8946.8,0.3,0,0,10
147,5350122.0,CT,Toronto,0.53381,6220,3655,3443,6220,11654.5,0.53,45,40,90
148,5350123.0,CT,Toronto,0.07501000000000001,2268,1494,1467,2268,30240.0,0.08,10,10,25
149,5350124.0,CT,Toronto,0.55675,5416,3470,3278,5416,9725.3,0.56,25,50,75
150,5350125.0,CT,Toronto,1.12047,4442,1618,1543,4442,3965.7,1.12,20,30,50
151,5350126.0,CT,Toronto,1.44927,4248,1746,1693,4248,2931.3,1.45,15,45,60
152,5350127.0,CT,Toronto,0.74046,5450,2325,2236,5450,7358.9,0.74,10,45,65
153,5350128.02,CT,Toronto,0.51869,8705,5052,4766,8705,16779.1,0.52,25,45,70
154,5350128.04,CT,Toronto,0.16199000000000002,4698,2994,2927,4698,29000.0,0.16,20,10,30
155,5350128.05,CT,Toronto,0.18162999999999999,945,366,304,945,5203.7,0.18,15,0,20
156,5350128.06,CT,Toronto,0.08584,4199,2601,2523,4199,48882.4,0.09,25,20,45
157,5350129.0,CT,Toronto,0.9274100000000001,5770,2787,2622,5770,6221.7,0.93,35,35,75
158,5350130.0,CT,Toronto,1.27901,3543,1365,1279,3543,2769.5,1.28,20,20,35
159,5350131.0,CT,Toronto,1.04439,5310,2505,2360,5310,5083.3,1.04,25,60,85
160,5350132.0,CT,Toronto,0.92464,5467,2155,2038,5467,5912.8,0.92,15,35,45
161,5350133.0,CT,Toronto,0.66745,7339,3629,3408,7339,10998.1,0.67,15,35,50
162,5350134.0,CT,Toronto,0.41703999999999997,2959,1076,1033,2959,7092.5,0.42,25,25,45
163,5350135.0,CT,Toronto,0.71622,6047,3316,3054,6047,8442.0,0.72,35,35,70
164,5350136.01,CT,Toronto,0.19196,6128,4023,3779,6128,31916.7,0.19,20,30,50
165,5350136.02,CT,Toronto,0.21013,4983,3459,3198,4983,23706.0,0.21,15,25,35
166,5350137.0,CT,Toronto,0.9142100000000001,7077,3644,3509,7077,7740.3,0.91,15,75,90
167,5350138.0,CT,Toronto,0.96546,3103,1250,1181,3103,3214.2,0.97,10,10,15
168,5350139.01,CT,Toronto,0.7736,4167,1904,1824,4167,5385.8,0.77,10,25,30
169,5350139.02,CT,Toronto,0.50952,2542,961,920,2542,4989.2,0.51,10,10,20
170,5350140.0,CT,Toronto,0.57204,2408,826,791,2408,4209.8,0.57,10,20,25
171,5350141.01,CT,Toronto,0.5504100000000001,4320,1685,1620,4320,7854.5,0.55,0,25,30
172,5350141.02,CT,Toronto,0.6875899999999999,4477,1624,1561,4477,6512.0,0.69,10,30,35
173,5350142.0,CT,Toronto,1.0439200000000002,5810,2313,2237,5810,5565.7,1.04,0,15,20
174,5350150.0,CT,Toronto,1.10899,4201,1640,1586,4201,3939.4,1.07,10,50,65
175,5350151.0,CT,Toronto,0.65559,3784,1577,1535,3784,5979.8,0.63,10,55,60
176,5350152.0,CT,Toronto,0.8546299999999999,4545,1846,1764,4545,5317.7,0.85,30,105,135
177,5350153.0,CT,Toronto,0.92761,4462,1783,1685,4462,4811.3,0.93,15,35,55
178,5350154.0,CT,Toronto,2.15888,6157,2899,2818,6157,2936.0,2.1,0,10,10
179,5350155.0,CT,Toronto,0.81296,3128,1316,1206,3128,3848.4,0.81,0,0,0
180,5350156.01,CT,Toronto,0.60545,5688,2365,2273,5688,9395.4,0.61,10,15,20
181,5350156.02,CT,Toronto,0.59201,2811,1124,1073,2811,4747.5,0.59,0,0,0
182,5350157.0,CT,Toronto,0.48528000000000004,2635,1107,1016,2635,5689.9,0.46,10,10,15
183,5350158.0,CT,Toronto,0.63989,2848,1346,1250,2848,4451.4,0.64,10,10,15
184,5350159.01,CT,Toronto,0.49246999999999996,3487,1386,1223,3487,7081.6,0.49,10,0,10
185,5350159.02,CT,Toronto,0.5753199999999999,4723,1843,1709,4723,8209.6,0.58,10,20,25
186,5350160.0,CT,Toronto,0.73445,3116,1246,1143,3116,4241.2,0.73,0,15,15
187,5350161.0,CT,Toronto,0.81126,6839,2689,2537,6839,8432.8,0.81,15,40,55
188,5350162.0,CT,Toronto,0.57575,5119,2059,1952,5119,8890.2,0.58,10,45,50
189,5350163.0,CT,Toronto,0.45421999999999996,4358,1882,1762,4358,9590.7,0.45,55,70,125
190,5350164.0,CT,Toronto,0.6282300000000001,6258,2629,2515,6258,9966.6,0.63,75,125,195
191,5350165.0,CT,Toronto,0.48493,4370,2031,1943,4370,9012.2,0.48,55,85,135
192,5350166.0,CT,Toronto,0.78603,4180,1691,1625,4180,5317.4,0.79,10,20,35
193,5350167.01,CT,Toronto,0.13410999999999998,1879,1483,1312,1879,14001.5,0.13,15,20,30
194,5350167.02,CT,Toronto,0.60145,5815,3143,2998,5815,9667.5,0.6,50,55,110
195,5350168.0,CT,Toronto,0.56552,5475,2665,2458,5475,9678.3,0.57,30,30,60
196,5350169.01,CT,Toronto,0.3781,3472,1457,1334,3472,9182.8,0.38,10,0,10
197,5350169.02,CT,Toronto,0.43778,7464,3318,3202,7464,17041.1,0.44,15,30,40
198,5350170.0,CT,Toronto,1.01423,3321,1305,1201,3321,3274.8,1.01,0,10,10
199,5350171.0,CT,Toronto,0.6081,4055,1613,1522,4055,6668.3,0.61,0,10,10
200,5350172.0,CT,Toronto,1.21015,2522,1183,1128,2522,2083.8,1.21,0,0,10
201,5350173.0,CT,Toronto,0.60145,3694,1528,1438,3694,6141.3,0.6,0,0,0
202,5350174.0,CT,Toronto,1.06328,7264,2751,2723,7264,6928.0,1.05,10,0,10
203,5350175.01,CT,Toronto,0.8012600000000001,6036,2551,2406,6036,7676.5,0.79,0,0,0
204,5350175.02,CT,Toronto,0.74248,7679,3813,3585,7679,10824.6,0.71,0,0,10
205,5350176.0,CT,Toronto,1.00471,4277,1697,1609,4277,4257.4,1.0,0,20,20
206,5350180.0,CT,Toronto,0.6138,6556,2875,2765,6556,10679.3,0.61,20,20,35
207,5350181.01,CT,Toronto,0.57055,4313,1940,1858,4313,7560.0,0.57,45,60,105
208,5350181.02,CT,Toronto,0.60182,3552,1664,1591,3552,5901.3,0.6,10,55,70
209,5350182.0,CT,Toronto,0.7605,5531,2297,2186,5531,7272.8,0.76,30,80,110
210,5350183.01,CT,Toronto,0.52409,2603,1048,1007,2603,4966.6,0.52,20,50,65
211,5350183.02,CT,Toronto,0.42813,3938,1584,1522,3938,9196.6,0.43,40,85,130
212,5350184.01,CT,Toronto,0.47406000000000004,5108,2346,2307,5108,10767.3,0.47,30,70,95
213,5350184.02,CT,Toronto,0.56201,3768,1694,1642,3768,6757.5,0.56,15,30,50
214,5350185.01,CT,Toronto,0.49918999999999997,6810,3507,3394,6810,13647.3,0.5,75,135,205
215,5350185.02,CT,Toronto,1.2288700000000001,4689,2305,2269,4689,3921.6,1.2,15,75,90
216,5350186.0,CT,Toronto,1.9107599999999998,2416,949,913,2416,1297.7,1.86,15,10,30
217,5350187.0,CT,Toronto,1.21045,3448,1424,1351,3448,2878.1,1.2,15,40,55
218,5350188.0,CT,Toronto,0.55199,2017,842,797,2017,3655.3,0.55,25,20,40
219,5350189.0,CT,Toronto,1.2395100000000001,5462,2226,2180,5462,4406.3,1.24,0,20,25
220,5350190.01,CT,Toronto,0.40226999999999996,9127,3577,3507,9127,22681.4,0.4,0,15,20
221,5350190.02,CT,Toronto,0.5813,4765,2102,2026,4765,8197.1,0.58,10,15,20
222,5350191.0,CT,Toronto,0.8230299999999999,4229,1853,1779,4229,5137.3,0.82,15,25,40
223,5350192.0,CT,Toronto,0.92037,905,462,440,905,986.8,0.92,0,0,0
224,5350193.0,CT,Toronto,1.41592,3314,1070,1043,3314,2396.2,1.38,0,10,10
225,5350194.01,CT,Toronto,0.2315,5498,1482,1463,5498,24922.9,0.22,0,25,25
226,5350194.02,CT,Toronto,0.34635,6240,1934,1923,6240,18013.9,0.35,10,10,10
227,5350194.03,CT,Toronto,0.25016,2933,1238,1229,2933,11722.6,0.25,0,10,0
228,5350194.04,CT,Toronto,2.29209,6437,2571,2508,6437,2813.5,2.29,10,15,20
229,5350195.01,CT,Toronto,0.9462,4483,1656,1604,4483,4737.4,0.95,25,35,60
230,5350195.02,CT,Toronto,0.37813,2317,920,894,2317,6124.8,0.38,25,25,45
231,5350196.01,CT,Toronto,0.3774,1977,811,775,1977,5237.1,0.38,10,15,25
232,5350196.02,CT,Toronto,1.10548,5635,2376,2250,5635,5097.7,1.11,30,50,75
233,5350200.01,CT,Toronto,0.6408,5614,3143,3055,5614,10524.9,0.53,0,65,70
234,5350200.02,CT,Toronto,0.14209000000000002,981,680,649,981,6903.6,0.14,10,10,15
235,5350201.0,CT,Toronto,0.75952,5371,2989,2776,5371,7138.5,0.75,10,40,50
236,5350202.0,CT,Toronto,0.33589,1647,653,631,1647,4903.2,0.34,15,10,25
237,5350203.0,CT,Toronto,0.58927,3160,1507,1431,3160,5364.1,0.59,0,20,25
238,5350204.0,CT,Toronto,0.74088,4537,2310,2210,4537,6122.8,0.74,30,80,105
239,5350205.0,CT,Toronto,0.7337199999999999,149,0,0,149,204.8,0.73,0,0,0
240,5350206.01,CT,Toronto,1.13878,4217,2151,2041,4217,3783.8,1.11,20,25,45
241,5350206.02,CT,Toronto,1.08513,5867,2994,2774,5867,5406.9,1.09,10,50,65
242,5350207.0,CT,Toronto,0.67366,2605,1285,1181,2605,3867.3,0.67,0,15,25
243,5350208.0,CT,Toronto,1.29403,4172,2062,1981,4172,3223.9,1.29,10,20,25
244,5350209.0,CT,Toronto,0.69308,2718,1338,1252,2718,3922.1,0.69,10,10,20
245,5350210.01,CT,Toronto,2.96012,3083,1008,971,3083,1041.6,2.96,0,15,20
246,5350210.02,CT,Toronto,0.94935,11390,9168,7016,11390,12511.0,0.91,30,50,85
247,5350211.0,CT,Toronto,3.27116,6350,2512,2447,6350,1941.2,3.27,15,30,40
248,5350212.0,CT,Toronto,1.7065400000000002,5704,2220,2169,5704,3397.9,1.68,0,20,25
249,5350213.01,CT,Toronto,0.94226,2666,1021,990,2666,2829.5,0.94,10,10,15
250,5350213.02,CT,Toronto,7.044739999999999,6045,3246,3134,6045,864.7,6.99,0,10,0
251,5350214.0,CT,Toronto,2.8237799999999997,5069,2466,2389,5069,1794.9,2.82,0,15,15
252,5350215.0,CT,Toronto,2.60049,6748,2991,2789,6748,2600.0,2.6,20,30,55
